	Preview_ID	Preview_Type	File Name	Preview_TreatmentSite	Preview_LastModified	Preview_ApprovalHistory	Preview_AssignedUsers	Preview_Description	Preview_Diagnosis	Preview_ApprovalStatus	ObjectivesOneStructure_ID	VolumeType	Distance	Color	VolumeCode	VolumeCodeTable	Group	Type	Operator	Dose	Volume	Priority	Group2	Type2	Operator2	Dose2	Volume2	Priority2	Group3	Type3	Operator3	Dose3	Volume3	Priority3	Group4	Type4	Operator4	Dose4	Volume4	Priority4	Group5	Type5	Operator5	Dose5	Volume5	Priority5	ObjectivesOneStructure_SurfaceOnly	SamplePoints_nil	StructureCode_Code	Distance_nil	StructureCode_CodeScheme	ObjectivesOneStructure_NAME	StructureCode_CodeSchemeVersion	ParameterA_nil
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Avoid MID	Control	2.17131	13828244			0	0	0	16.25	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Avoid OUTER	Control	3	9639167			0	0	0	13	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Body	BODY	4.5	65280																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Brain	Organ	1.52674	64636																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	BrainStem	Organ	2.41475	8388736			0	0	0	12	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Cochlea L	Organ	1	10526303			0	0	0	12	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Cochlea R	Organ	1	2330219			0	0	0	12	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	CTV	CTV	3	16776960																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Globe L	Organ	1.52674	3937500			0	0	0	12	0	50																									false	true	12515		FMA		3.2	true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Globe R	Organ	1.52674	36095			0	0	0	12	0	50																									false	true	12514		FMA		3.2	true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	GTV	GTV	1.52674	255																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Lens L	Organ	1	65535			0	0	0	4	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Lens R	Organ	1	11186720			0	0	0	4	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	opt Brain	Avoidance	3	64636			0	0	0	5.4	1	125																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	opt BrainStem	Avoidance	1.52674	9639167																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	opt PTV	PTV	3	15570276																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	OpticChiasm	Organ	1	6333684			0	0	0	12	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	OpticNerve L	Organ	1	5275647			0	0	0	12	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	OpticNerve R	Organ	1	55295			0	0	0	12	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Orbit L	None	1	3937500																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Orbit R	Organ	1.5466	36095																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	PRV5 BrainStem	Avoidance	1.52674	14524637																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	PRV5 OpticNerve	Avoidance	1.52674	14524637																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	PRV5 SpinalCanal	Avoidance	1.52674	12695295																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	PTV	PTV	1.52674	15570276																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	PTV 1	PTV	1.33449	15570276			0	0	0	32.5	0	70	0	0	1	32.5	100	70																			false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	PTV 2	PTV	1	15570276			0	0	0	32.5	0	70	0	0	1	32.5	100	70																			false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	PTV 3	PTV	1.20009	15570276			0	0	0	32.5	0	70	0	0	1	32.5	100	70																			false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	PTV 4	PTV	1	15570276			0	0	0	32.5	0	70	0	0	1	32.5	100	70																			false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Skin	Organ	3	15794160			0	0	0	10	0	50																									false	true						true
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	SpinalCanal	Organ	2.20079	255																																	false	true						
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	Avoid a Rectum	Control	3	9639167			0	0	0	10	0	50																									false	true						true
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	Avoid b Rectum	Control	3	13828244			0	0	0	5	0	50																									false	true						true
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	Bladder	Organ	1.501	13130346																																	false	true						
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	Body	BODY	4.5	65280																																	false	true						
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	CTV	CTV	3	16776960			0	0	0	38	0	100	0	0	1	39	100	110																			false	true						true
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	Femoral Head L	Organ	1.501	32896																																	false	true						
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	Femoral Head R	Organ	1.501	9221330																																	false	true						
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	opt Bladder	Avoidance	3	13130346			0	0	0	10	40	50	0	0	0	15	25	50	0	0	0	20	15	50	0	0	0	25	5	50							false	true						true
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	opt PTV	PTV	3	15570276			0	0	0	36.5	0	100	0	0	0	36.5	0	100	0	0	1	39	100	120													false	true						true
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	opt Rectum	Avoidance	3	2763429			0	0	0	15	40	70	0	0	0	20	25	70	0	0	0	25	15	70	0	0	0	30	5	70							false	true						true
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	PTV	PTV	1.501	15570276																																	false	true						
	VMAT PROS 37/15	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11385.xml		 July 05 2017 11:10:59:787	told Created [ July 05 2017 11:10:09:292 ];told Approved [ July 05 2017 11:10:59:774 ]	told			Approved	Rectum	Organ	1.501	2763429																																	false	true						
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	BODY	BODY		65280																																	false	true	BODY	true	99VMS_STRUCTCODE		1.0	
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	BrachialPlexus L	Organ		16748574																																	false	true	45245	true	FMA		3.2	
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	BrachialPlexus R	Organ		32896																																	false	true	45244	true	FMA		3.2	
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	Chest Wall	Organ		16760576																																	false	true	13354	true	FMA		3.2	
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	CTV	CTV		16776960			0	0	1	50	100	120	0	0	0	50	0	100																			false	true	CTVp	true	99VMS_STRUCTCODE		1.0	true
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	Esophagus	Organ		13749760																																	false	true	7131	true	FMA		3.2	
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	Heart	Organ		8388736			0	0	0	25	50	50	0	0	0	40	10	50																			false	true	7088	true	FMA		3.2	true
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	IGTV	GTV		255																																	false	true	GTVp	true	99VMS_STRUCTCODE		1.0	
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	ITV	CTV		16776960																																	false	true	ITV	true	99VMS_STRUCTCODE		1.0	
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	Lung B	Organ		2139610			0	0	0	5	50	100	0	0	0	20	20	100																			false	true	68877	true	FMA		3.2	true
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	Lung L	Organ		16777184																																	false	true	7310	true	FMA		3.2	
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	Lung R	Organ		12180223																																	false	true	7309	true	FMA		3.2	
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	opt PTV	PTV		16711935																																	false	true	PTVp	true	99VMS_STRUCTCODE		1.0	
	VMAT ESO	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11554.xml		 November 21 2018 16:44:24:165	told Created [ November 21 2018 16:44:24:141 ];told Approved [ November 21 2018 16:44:24:163 ]	told			Approved	PRV5 SpinalCanal	Avoidance		12695295																																	false	true	PRV	true	99VMS_STRUCTCODE		1.0	
